#V_RHE  FE_tot  Methane Ethylene    CO  Hydrogen    Formate Ethanol Acetate
-0.30   100.0   0.0     0.0     0.0008  0.0     0.0     0.0     0.0     
-0.4    95.43   0.0     0.0     0.0014  0.0891  0.0     0.0     0.0     
-0.5    94.38   0.0     0.0     0.0095  0.1583  0.0     0.0     0.0     
-0.6    94.69   0.0     0.0     0.0187  0.2899  0.0     0.0     0.0     
-0.7    102.19  0.0     0.013   0.0379  0.4367  0.0338  0.0     0.0     
-0.85   98.07   0.0189  0.1536  0.0476  0.6488  0.0882  0.0     0.0     
-0.9    95.68   0.0332  0.262   0.0376  0.863   0.1138  0.0119  0.0079  
-0.95   97.97   0.1473  0.6733  0.0597  1.4344  0.128   0.1075  0.0065  
-1.0    96.69   0.7518  1.298   0.0619  1.5249  0.1764  0.278   0.0335  
-1.05   95.73   1.472   1.0566  0.046   1.8956  0.1701  0.1581  0.0258  
-1.1    99.91   2.8121  0.6319  0.01    5.5295  0.1235  0.1627  0.0066  
-1.15   98.44   3.3704  0.1244  0.0042  8.1605  0.1483  0.0     0.0     
-1.2    103.52  2.2768  0.046   0.0033  8.0807  0.0505  0.0     0.0     
-1.25   96.06   3.1561  0.021   0.0034  12.5045 0.0539  0.0     0.0     

