#V_RHE  FE_tot  Methane Ethylene    CO  Hydrogen    Formate Ethanol Acetate
-0.50   93.99   0.0     0.0     0.0014  0.1938  0.0     0.0     0.0     
-0.6    100.5   0.0     0.0     0.0129  0.5016  0.0391  0.0     0.0     
-0.7    99.28   0.0     0.0     0.026   0.5404  0.12    0.0     0.0     
-0.75   98.68   0.0     0.0     0.0342  0.6064  0.1812  0.0     0.0     
-0.8    97.23   0.0     0.0043  0.0581  0.7251  0.2727  0.0     0.0     
-0.9    96.31   0.0134  0.0472  0.0867  0.9128  0.3228  0.0     0.0     
-1.0    99.74   0.1563  0.386   0.0595  1.3581  0.2138  0.1357  0.0     
-1.05   96.6    1.1456  1.3149  0.1312  2.1097  0.2312  0.4027  0.0436  
-1.1    96.25   2.9898  2.2936  0.2272  2.6987  0.2304  0.6503  0.0618  
-1.15   99.46   3.1414  0.9206  0.1628  6.9648  0.2236  0.4656  0.0911  
-1.2    99.63   3.9321  0.6562  0.0577  11.3162 0.0923  0.2686  0.0525  
-1.25   94.23   3.9384  0.3063  0.0503  18.3786 0.0     0.0     0.0     













